name; nat_dex_id; type1; type2; egg_group1; egg_group2; height; weight; male_ratio; classification; capture_rate; egg_steps; exp_growth; ev; color; sz_flee_rate; ability; base_happiness; base_atk; base_def; base_spatk; base_spdef; base_speed; base_hp; damage_normal; damage_fire; damage_water; damage_grass; damage_electric; damage_ice; damage_fighting; damage_poison; damage_ground; damage_flying; damage_psychic; damage_bug; damage_rock; damage_ghost; damage_dragon; damage_dark; damage_steel; dex_entry_diamond; dex_entry_pearl; dex_entry_platinum; dex_entry_HG; dex_entry_SS; 
Metapod; 11; Bug; None; Bug; Bug; 0.7; 9.9; 50.0; Cocoon Pokémon; 120; 3840; 1000000; 2 Defense Point(s); Green; 0; Shed Skin; 70; 110 - 157; 210 - 304; 110 - 157; 210 - 304; 110 - 157; 50; 1.0; 2.0; 1.0; 0.5; 1.0; 1.0; 0.5; 1.0; 0.5; 2.0; 1.0; 1.0; 2.0; 1.0; 1.0; 1.0; 1.0; A steel-hard shell protects its tender body. It quietly endures hardships while awaiting evolution.; A steel-hard shell protects its tender body. It quietly endures hardships while awaiting evolution.; A steel-hard shell protects its tender body. It quietly endures hardships while awaiting evolution.; Inside the shell, it is soft and weak as it prepares to evolve. It stays motionless in the shell.; It prepares for evolution by hardening its shell as much as possible to protect its soft body.; 
Butterfree; 12; Bug; Flying; Bug; Bug; 1.1; 32.0; 50.0; Butterfly Pokémon; 45; 3840; 1000000; 2 Sp. Attack Point(s) 1 Sp. Defense Point(s); White; 0; Compoundeyes; 70; 120 - 167; 230 - 324; 120 - 167; 230 - 324; 120 - 167; 60; 1.0; 2.0; 1.0; 0.25; 2.0; 2.0; 0.25; 1.0; 0.0; 2.0; 1.0; 0.5; 4.0; 1.0; 1.0; 1.0; 1.0; It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.; It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.; It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.; It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.; Water-repellent powder on its wings enables it to collect honey, even in the heaviest of rains.; 
Weedle; 13; Bug; Poison; Bug; Bug; 0.3; 3.2; 50.0; Hairy Bug Pokémon; 255; 3840; 1000000; 1 Speed Point(s); Brown; 0; Shield Dust; 70; 100 - 147; 190 - 284; 100 - 147; 190 - 284; 100 - 147; 40; 1.0; 2.0; 1.0; 0.25; 1.0; 1.0; 0.25; 0.5; 1.0; 2.0; 2.0; 0.5; 2.0; 1.0; 1.0; 1.0; 1.0; It eats its weight in leaves every day. It fends off attackers with the needle on its head.; It eats its weight in leaves every day. It fends off attackers with the needle on its head.; It eats its weight in leaves every day. It fends off attackers with the needle on its head.; Its poison stinger is very powerful. Its bright-colored body is intended to warn off its enemies.; It attacks using a two-inch poison barb on its head. It can usually be found under the leaves it eats.; 
Kakuna; 14; Bug; Poison; Bug; Bug; 0.6; 10.0; 50.0; Cocoon Pokémon; 120; 3840; 1000000; 2 Defense Point(s); Yellow; 0; Shed Skin; 70; 105 - 152; 200 - 294; 105 - 152; 200 - 294; 105 - 152; 45; 1.0; 2.0; 1.0; 0.25; 1.0; 1.0; 0.25; 0.5; 1.0; 2.0; 2.0; 0.5; 2.0; 1.0; 1.0; 1.0; 1.0; While awaiting evolution, it hides from predators under leaves and in nooks of branches.; While awaiting evolution, it hides from predators under leaves and in nooks of branches.; While awaiting evolution, it hides from predators under leaves and in nooks of branches.; Although it is a cocoon, it can move a little. It can extend its poison barb if it is attacked.; From this form, it will grow into an adult. As its body becomes softer, the external shell hardens.; 
Beedrill; 15; Bug; Poison; Bug; Bug; 1.4; 40.5; 50.0; Poison Bee Pokémon; 45; 3840; 1000000; 2 Attack Point(s) 1 Sp. Defense Point(s); Yellow; 0; Swarm; 70; 125 - 172; 240 - 334; 125 - 172; 240 - 334; 125 - 172; 65; 1.0; 2.0; 1.0; 0.25; 1.0; 1.0; 0.25; 0.5; 1.0; 2.0; 2.0; 0.5; 2.0; 1.0; 1.0; 1.0; 1.0; Its best attack involves flying around at high speed, striking with poison needles, then flying off.; Its best attack involves flying around at high speed, striking with poison needles, then flying off.; Its best attack involves flying around at high speed, striking with poison needles, then flying off.; It can take down any opponent with its powerful poison stingers. It sometimes attacks in swarms.; It has three poison barbs. The barb on its tail secretes the most powerful poison.; 
Pidgey; 16; Normal; Flying; Flying; Flying; 0.3; 1.8; 50.0; Tiny Bird Pokémon; 255; 3840; 1059860; 1 Speed Point(s); Brown; 90; Keen Eye; 70; 100 - 147; 190 - 284; 100 - 147; 190 - 284; 100 - 147; 40; 1.0; 1.0; 1.0; 0.5; 2.0; 2.0; 1.0; 1.0; 0.0; 1.0; 1.0; 0.5; 2.0; 0.0; 1.0; 1.0; 1.0; It is docile and prefers to avoid conflict. If disturbed, however, it can ferociously strike back.; It is docile and prefers to avoid conflict. If disturbed, however, it can ferociously strike back.; It is docile and prefers to avoid conflict. If disturbed, however, it can ferociously strike back.; It usually hides in tall grass. Because it dislikes fighting, it protects itself by kicking up sand.; Common in grassy areas and forests, it is very docile and will chase off enemies by flapping up sand.; 
Pidgeotto; 17; Normal; Flying; Flying; Flying; 1.1; 30.0; 50.0; Bird Pokémon; 120; 3840; 1059860; 2 Speed Point(s); Brown; 0; Keen Eye; 70; 123 - 170; 236 - 330; 123 - 170; 236 - 330; 123 - 170; 63; 1.0; 1.0; 1.0; 0.5; 2.0; 2.0; 1.0; 1.0; 0.0; 1.0; 1.0; 0.5; 2.0; 0.0; 1.0; 1.0; 1.0; It flies over its wide territory in search of prey, downing it with its highly developed claws.; It flies over its wide territory in search of prey, downing it with its highly developed claws.; It flies over its wide territory in search of prey, downing it with its highly developed claws.; It has outstanding vision. However high it flies, it is able to distinguish the movements of its prey.; It renders its prey immobile using well-developed claws, then carries the prey more than 60 miles to its nest.; 
Pidgeot; 18; Normal; Flying; Flying; Flying; 2.2; 50.5; 50.0; Bird Pokémon; 45; 3840; 1059860; 3 Speed Point(s); Brown; 0; Keen Eye; 70; 143 - 190; 276 - 370; 143 - 190; 276 - 370; 143 - 190; 83; 1.0; 1.0; 1.0; 0.5; 2.0; 2.0; 1.0; 1.0; 0.0; 1.0; 1.0; 0.5; 2.0; 0.0; 1.0; 1.0; 1.0; By flapping its wings with all its might, PIDGEOT can make a gust of wind capable of bending tall trees.; By flapping its wings with all its might, PIDGEOT can make a gust of wind capable of bending tall trees.; By flapping its wings with all its might, PIDGEOT can make a gust of wind capable of bending tall trees.; Its well-developed chest muscles make it strong enough to whip up a gusty windstorm with just a few flaps.; It spreads its beautiful wings wide to frighten its enemies. It can fly at Mach 2 speed.; 
Rattata; 19; Normal; None; Ground; Ground; 0.3; 3.5; 50.0; Mouse Pokémon; 255; 3840; 1000000; 1 Speed Point(s); Purple; 120; Run Away; 70; 90 - 137; 170 - 264; 90 - 137; 170 - 264; 90 - 137; 30; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 2.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0; 1.0; 1.0; 1.0; Cautious in the extreme, its hardy vitality lets it live in any kind of environment.; Cautious in the extreme, its hardy vitality lets it live in any kind of environment.; Cautious in the extreme, its hardy vitality lets it live in any kind of environment.; It eats anything. Wherever food is available, it will settle down and produce offspring continuously.; Living wherever there is food available, it ceaselessly scavenges for edibles the entire day.; 
Raticate; 20; Normal; None; Ground; Ground; 0.7; 18.5; 50.0; Mouse Pokémon; 127; 3840; 1000000; 2 Speed Point(s); Brown; 90; Run Away; 70; 115 - 162; 220 - 314; 115 - 162; 220 - 314; 115 - 162; 55; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 2.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0; 1.0; 1.0; 1.0; It whittles its constantly growing fangs by gnawing on hard things. It can chew apart cinder walls.; It whittles its constantly growing fangs by gnawing on hard things. It can chew apart cinder walls.; It whittles its constantly growing fangs by gnawing on hard things. It can chew apart cinder walls.; Gnaws on anything with its tough fangs. It can even topple concrete buildings by gnawing on them.; Its whiskers help it to maintain balance. Its fangs never stop growing, so it gnaws to pare them down.; 
Spearow; 21; Normal; Flying; Flying; Flying; 0.3; 2.0; 50.0; Tiny Bird Pokémon; 255; 3840; 1000000; 1 Speed Point(s); Brown; 90; Keen Eye; 70; 100 - 147; 190 - 284; 100 - 147; 190 - 284; 100 - 147; 40; 1.0; 1.0; 1.0; 0.5; 2.0; 2.0; 1.0; 1.0; 0.0; 1.0; 1.0; 0.5; 2.0; 0.0; 1.0; 1.0; 1.0; It flaps its small wings busily to fly. Using its beak, it searches in grass for prey.; It flaps its small wings busily to fly. Using its beak, it searches in grass for prey.; It flaps its small wings busily to fly. Using its beak, it searches in grass for prey.; It flaps its short wings to flush out insects from tall grass. It then plucks them with its stubby beak.; Very protective of its territory, it flaps its short wings busily to dart around at high speed.; 
Fearow; 22; Normal; Flying; Flying; Flying; 1.2; 38.0; 50.0; Beak Pokémon; 90; 3840; 1000000; 2 Speed Point(s); Brown; 60; Keen Eye; 70; 125 - 172; 240 - 334; 125 - 172; 240 - 334; 125 - 172; 65; 1.0; 1.0; 1.0; 0.5; 2.0; 2.0; 1.0; 1.0; 0.0; 1.0; 1.0; 0.5; 2.0; 0.0; 1.0; 1.0; 1.0; It has the stamina to fly all day on its broad wings. It fights by using its sharp beak.; It has the stamina to keep flying all day on its broad wings. It fights by using its sharp beak.; It has the stamina to fly all day on its broad wings. It fights by using its sharp beak.; It shoots itself suddenly high into the sky, then plummets down in one fell swoop to strike its prey.; It cleverly uses its thin, long beak to pluck and eat small insects that hide under the ground.; 
Ekans; 23; Poison; None; Ground; Dragon; 2.0; 6.9; 50.0; Snake Pokémon; 255; 5120; 1000000; 1 Attack Point(s); Purple; 120; Intimidate; 70; 95 - 142; 180 - 274; 95 - 142; 180 - 274; 95 - 142; 35; 1.0; 1.0; 1.0; 0.5; 1.0; 1.0; 0.5; 0.5; 2.0; 1.0; 2.0; 0.5; 1.0; 1.0; 1.0; 1.0; 1.0; It sneaks through grass without making a sound and strikes unsuspecting prey from behind.; It sneaks through grass without making a sound and strikes unsuspecting prey from behind.; It sneaks through grass without making a sound and strikes unsuspecting prey from behind.; It can freely detach its jaw to swallow large prey whole. It can become too heavy to move, however.; It always hides in grass. When first born, it has no poison, so its bite is painful, but harmless.; 
Arbok; 24; Poison; None; Ground; Dragon; 3.5; 65.0; 50.0; Cobra Pokémon; 90; 5120; 1000000; 2 Attack Point(s); Purple; 60; Intimidate; 70; 120 - 167; 230 - 324; 120 - 167; 230 - 324; 120 - 167; 60; 1.0; 1.0; 1.0; 0.5; 1.0; 1.0; 0.5; 0.5; 2.0; 1.0; 2.0; 0.5; 1.0; 1.0; 1.0; 1.0; 1.0; The pattern on its belly is for intimidation. It constricts foes while they are frozen in fear.; The pattern on its belly is for intimidation. It constricts foes while they are frozen in fear.; The pattern on its belly is for intimidation. It constricts foes while they are frozen in fear.; Transfixing prey with the face-like pattern on its belly, it binds and poisons the frightened victim.; With a very vengeful nature, it wont give up the chase, no matter how far, once it targets its prey.; 
Pikachu; 25; Electric; None; Ground; Fairy; 0.4; 6.0; 50.0; Mouse Pokémon; 190; 2560; 1000000; 2 Speed Point(s); Yellow; 0; Static; 70; 95 - 142; 180 - 274; 95 - 142; 180 - 274; 95 - 142; 35; 1.0; 1.0; 1.0; 1.0; 0.5; 1.0; 1.0; 1.0; 2.0; 0.5; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.5; It lives in forests with others. It stores electricity in the pouches on its cheeks.; If it looses crackling power from the electric pouches on its cheeks, it is being wary.; It occasionally uses an electric shock to recharge a fellow PIKACHU that is in a weakened state.; This intelligent Pokmon roasts hard berries with electricity to make them tender enough to eat.; It raises its tail to check its surroundings. The tail is sometimes struck by lightning in this pose.; 
Raichu; 26; Electric; None; Ground; Fairy; 0.8; 30.0; 50.0; Mouse Pokémon; 75; 2560; 1000000; 3 Speed Point(s); Yellow; 0; Static; 70; 120 - 167; 230 - 324; 120 - 167; 230 - 324; 120 - 167; 60; 1.0; 1.0; 1.0; 1.0; 0.5; 1.0; 1.0; 1.0; 2.0; 0.5; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.5; It turns aggressive if it has too much electricity in its body. It discharges power through its tail.; It can loose 100,000-volt bursts of electricity, instantly downing foes several times its size.; Its tail discharges electricity into the ground, protecting it from getting shocked.; When its electricity builds, its muscles are stimulated, and it becomes more aggressive than usual.; If the electric pouches in its cheeks become fully charged, both ears will stand straight up.; 
Sandshrew; 27; Ground; None; Ground; Ground; 0.6; 12.0; 50.0; Mouse Pokémon; 255; 5120; 1000000; 1 Defense Point(s); Yellow; 90; Sand Veil; 70; 110 - 157; 210 - 304; 110 - 157; 210 - 304; 110 - 157; 50; 1.0; 1.0; 2.0; 2.0; 0.0; 2.0; 1.0; 0.5; 1.0; 1.0; 1.0; 1.0; 0.5; 1.0; 1.0; 1.0; 1.0; To protect itself from attackers, it curls up into a ball. It lives in arid regions with minimal rainfall.; To protect itself from attackers, it curls up into a ball. It lives in arid regions with minimal rainfall.; To protect itself from attackers, it curls up into a ball. It lives in arid regions with minimal rainfall.; If it fell from a great height, this Pokmon could save itself by rolling into a ball and bouncing.; Disliking water, it lives in deep burrows in arid areas. It can roll itself instantly into a ball.; 
Sandslash; 28; Ground; None; Ground; Ground; 1.0; 29.5; 50.0; Mouse Pokémon; 90; 5120; 1000000; 2 Defense Point(s); Yellow; 60; Sand Veil; 70; 135 - 182; 260 - 354; 135 - 182; 260 - 354; 135 - 182; 75; 1.0; 1.0; 2.0; 2.0; 0.0; 2.0; 1.0; 0.5; 1.0; 1.0; 1.0; 1.0; 0.5; 1.0; 1.0; 1.0; 1.0; It curls up, then rolls into foes with its back. Its sharp spines inflict severe damage.; It curls up, then rolls into foes with its back. Its sharp spines inflict severe damage.; It curls up, then rolls into foes with its back. Its sharp spines inflict severe damage.; In an attempt to hide itself, it will run around at top speed to kick up a blinding dust storm.; If it digs at an incredible pace, it may snap off its spikes and claws. They grow back in a day.; 
Nidoran♀; 29; Poison; None; Monster; Ground; 0.4; 7.0; 0.0; Poison Pin Pokémon; 235; 5120; 1059860; 1 HP Point(s); Blue; 90; Poison Point; 70; 115 - 162; 220 - 314; 115 - 162; 220 - 314; 115 - 162; 55; 1.0; 1.0; 1.0; 0.5; 1.0; 1.0; 0.5; 0.5; 2.0; 1.0; 2.0; 0.5; 1.0; 1.0; 1.0; 1.0; 1.0; While it does not prefer to fight, even one drop of the poison it secretes from barbs can be fatal.; While it does not prefer to fight, even one drop of the poison it secretes from barbs can be fatal.; While it does not prefer to fight, even one drop of the poison it secretes from barbs can be fatal.; The poison hidden in its small horn is extremely potent. Even a tiny scratch can have fatal results.; Although not very combative, it will torment its foes with poison spikes if it is threatened in any way.; 
Nidorina; 30; Poison; None; None; None; 0.8; 20.0; 0.0; Poison Pin Pokémon; 120; 5120; 1059860; 2 HP Point(s); Blue; 60; Poison Point; 70; 130 - 177; 250 - 344; 130 - 177; 250 - 344; 130 - 177; 70; 1.0; 1.0; 1.0; 0.5; 1.0; 1.0; 0.5; 0.5; 2.0; 1.0; 2.0; 0.5; 1.0; 1.0; 1.0; 1.0; 1.0; When it senses danger, it raises all the barbs on its body. These barbs grow slower than NIDORINOs.; When it senses danger, it raises all the barbs on its body. These barbs grow slower than NIDORINOs.; When it senses danger, it raises all the barbs on its body. These barbs grow slower than NIDORINOs.; When feeding its young, it first chews the food into a paste, then spits it out for the offspring.; It has a calm and caring nature. Because its horn grows slowly, it prefers not to fight.; 
Nidoqueen; 31; Poison; Ground; None; None; 1.3; 60.0; 0.0; Drill Pokémon; 45; 5120; 1059860; 3 HP Point(s); Blue; 0; Poison Point; 70; 150 - 197; 290 - 384; 150 - 197; 290 - 384; 150 - 197; 90; 1.0; 1.0; 2.0; 1.0; 0.0; 2.0; 0.5; 0.25; 2.0; 1.0; 2.0; 0.5; 0.5; 1.0; 1.0; 1.0; 1.0; Its entire body is armored with hard scales. It will protect the young in its burrow with its life.; Its entire body is armored with hard scales. It will protect the young in its burrow with its life.; Its entire body is armored with hard scales. It will protect the young in its burrow with its life.; Its body is covered with needle-like scales. It never shows signs of shrinking from any attack.; It uses its scaly, rugged body to seal the entrance of its nest and protect its young from predators.; 
Nidoran♂; 32; Poison; None; Monster; Ground; 0.5; 9.0; 100.0; Poison Pin Pokémon; 235; 5120; 1059860; 1 Attack Point(s); Purple; 90; Poison Point; 70; 106 - 153; 202 - 296; 106 - 153; 202 - 296; 106 - 153; 46; 1.0; 1.0; 1.0; 0.5; 1.0; 1.0; 0.5; 0.5; 2.0; 1.0; 2.0; 0.5; 1.0; 1.0; 1.0; 1.0; 1.0; It scans its surroundings by raising its ears out of the grass. Its toxic horn is for protection.; It scans its surroundings by raising its ears out of the grass. Its toxic horn is for protection.; It scans its surroundings by raising its ears out of the grass. Its toxic horn is for protection.; It is small, but its horn is filled with poison. It charges then stabs with the horn to inject poison.; It raises its big ears to check its surroundings. It will strike first if it senses any danger.; 
Nidorino; 33; Poison; None; Monster; Ground; 0.9; 19.5; 100.0; Poison Pin Pokémon; 120; 5120; 1059860; 2 Attack Point(s); Purple; 60; Poison Point; 70; 121 - 168; 232 - 326; 121 - 168; 232 - 326; 121 - 168; 61; 1.0; 1.0; 1.0; 0.5; 1.0; 1.0; 0.5; 0.5; 2.0; 1.0; 2.0; 0.5; 1.0; 1.0; 1.0; 1.0; 1.0; It has a violent disposition and stabs foes with its horn, which oozes poison upon impact.; It has a violent disposition and stabs foes with its horn, which oozes poison upon impact.; It has a violent disposition and stabs foes with its horn, which oozes poison upon impact.; It raises its big ears to check its surroundings. If it senses anything, it attacks immediately.; Quick to anger, it stabs enemies with its horn to inject a powerful poison when it becomes agitated.; 
Nidoking; 34; Poison; Ground; Monster; Ground; 1.4; 62.0; 100.0; Drill Pokémon; 45; 5120; 1059860; 3 Attack Point(s); Purple; 0; Poison Point; 70; 141 - 188; 272 - 366; 141 - 188; 272 - 366; 141 - 188; 81; 1.0; 1.0; 2.0; 1.0; 0.0; 2.0; 0.5; 0.25; 2.0; 1.0; 2.0; 0.5; 0.5; 1.0; 1.0; 1.0; 1.0; One swing of its mighty tail can snap a telephone pole as if it were a matchstick.; One swing of its mighty tail can snap a telephone pole as if it were a matchstick.; One swing of its mighty tail can snap a telephone pole as if it were a matchstick.; It swings its big tail around during battle. If its foe flinches, it will charge with its sturdy body.; Its tail is thick and powerful. If it binds an enemy, it can render the victim helpless quite easily.; 
Clefairy; 35; Fairy; None; Fairy; Fairy; 0.6; 7.5; 25.0; Fairy Pokémon; 150; 2560; 800000; 2 HP Point(s); Pink; 120; Cute Charm; 140; 130 - 177; 250 - 344; 130 - 177; 250 - 344; 130 - 177; 70; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 2.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0; 1.0; 1.0; 1.0; Thought to live with others on quiet mountains, it is popular for its adorable nature.; It flies using the wings on its back to collect moonlight. This Pokmon is difficult to find.; It is said that happiness will come to those who see a gathering of CLEFAIRY dancing under a full moon.; The moonlight that it stores in the wings on its back apparently gives it the ability to float in midair.; Its adorable behavior and cry make it highly popular. However, this cute Pokmon is rarely found.; 
